iter	Passed	Remaining
0	247	247008
1	483	241363
2	671	223246
3	769	191674
4	918	182696
5	1053	174568
6	1197	169876
7	1359	168531
8	1553	171106
9	1778	176051
10	1968	176945
11	2252	185426
12	2433	184723
13	2624	184815
14	2849	187143
15	2991	183956
16	3197	184864
17	3466	189098
18	3657	188867
19	3902	191246
20	4132	192653
21	4324	192255
22	4550	193283
23	4741	192812
24	4914	191651
25	5199	194791
26	5418	195253
27	5635	195618
28	5826	195079
29	6022	194740
30	6150	192240
31	6332	191568
32	6507	190703
33	6694	190197
34	6898	190192
35	7068	189281
36	7255	188837
37	7467	189036
38	7675	189121
39	7865	188782
40	8031	187854
41	8179	186567
42	8334	185494
43	8493	184545
44	8654	183671
45	8875	184074
46	9035	183202
47	9206	182602
48	9393	182302
49	9574	181908
50	9701	180530
51	9905	180585
52	10098	180431
